model_id,model_dir,usable,rejection_code,reason,solver_status,solver_max_distance,solver_max_iterations,money_scale,policy_storage_format,policy_dtype,policy_shape,has_consumption_policy,has_deposit_policy,has_saved_liquid_drift,has_saved_illiquid_drift,has_saved_next_liquid_assets,has_saved_next_illiquid_assets,metadata_policy_arrays,metadata_drifts_saved,array_key_count,param__config__borrowing_interest_rate,param__config__borrowing_limit,param__config__consumption_floor,param__config__ct_automatic_illiquid_income_share,param__config__ct_convex_adjustment_cost,param__config__ct_delta_base,param__config__ct_delta_max,param__config__ct_illiquid_cost_floor,param__config__ct_linear_adjustment_cost,param__config__ct_policy_drift_clip,param__config__ct_slow_iterations,param__config__ct_time_step,param__config__dense_liquid_upper,param__config__discount_factor,param__config__empirical_min_cell_count,param__config__empirical_transition_smoothing,param__config__illiquid_interest_rate,param__config__illiquid_max,param__config__illiquid_min,param__config__illiquid_service_flow,param__config__liquid_interest_rate,param__config__liquid_max,param__config__liquid_service_flow,param__config__max_age,param__config__min_age,param__config__retirement_age,param__config__risk_aversion,param__policy__employment__finding_income_slope,param__policy__employment__job_finding_probability,param__policy__employment__job_loss_probability,param__policy__employment__loss_income_slope,param__policy__employment__unemployment_replacement_rate,param__policy__group_values__0,param__policy__income__age_profile_quadratic,param__policy__income__age_profile_slope,param__policy__income__group_log_income_shifters__0,param__policy__income__innovation_std,param__policy__income__mean_income,param__policy__income__persistence,param__policy__pension__replacement_rate,param__policy__tax__deduction,param__policy__tax__flat_rate,param__policy__tax__payroll_rate,param__policy__tax__progressive_exponent,param__policy__tax__progressive_rate,param__policy__tax__tax_cap,param__config__allow_borrowing,param__config__normalize_empirical_money,param__policy__employment__kind,param__policy__employment__retirement_absorbing,param__policy__income__kind,param__policy__pension__kind,param__policy__pension__pension_taxable,param__policy__tax__kind
031079d1b793a1,held_out_models/031079d1b793a1,True,,,success,8.70426590122533e+25,20,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.06,-1.0,1e-08,0.1,8.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.985,25.0,0.001,0.04,5.0,1e-06,0.0,0.0,8.0,0.0,80.0,25.0,65.0,6.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.25,0.0,0.2,1.0,0.98,0.45,0.2,0.25,0.08,1.35,0.05,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
04e3c057993e47,held_out_models/04e3c057993e47,True,,,success,9.104929631575942e-06,14,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.1,-0.25,1e-08,0.1,8.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.02,5.0,1e-06,0.0,0.02,8.0,0.0,80.0,25.0,65.0,2.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.1,0.0,0.2,1.0,0.95,0.25,0.2,0.25,0.08,1.35,0.02,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
05cb71a77f9ae2,held_out_models/05cb71a77f9ae2,True,,,success,9.864568710327148e-06,19,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.15,0.0,1e-08,0.1,0.5,0.5,100000000.0,1e-06,0.05,10000.0,20.0,1.0,0.75,0.92,25.0,0.001,0.06,5.0,1e-06,0.0,0.02,8.0,0.0,80.0,25.0,65.0,6.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.1,0.0,0.35,1.0,0.9,0.45,0.2,0.25,0.08,1.35,0.05,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
0aafc1f3a78b0e,held_out_models/0aafc1f3a78b0e,True,,,success,9.700655937194824e-06,13,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.1,-0.25,1e-08,0.1,8.0,0.5,100000000.0,1e-06,0.0,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.06,5.0,1e-06,0.0,0.0,8.0,0.0,80.0,25.0,65.0,2.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.25,0.0,0.35,1.0,0.95,0.25,0.2,0.25,0.08,1.35,0.02,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
0da4cda02ce5f6,held_out_models/0da4cda02ce5f6,True,,,success,6.044629098073146e+23,20,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.1,-1.0,1e-08,0.1,0.5,0.5,100000000.0,1e-06,0.0,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.02,5.0,1e-06,0.0,0.0,8.0,0.0,80.0,25.0,65.0,6.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.25,0.0,0.1,1.0,0.9,0.65,0.2,0.25,0.08,1.35,0.02,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
0f3c6565bfd580,held_out_models/0f3c6565bfd580,True,,,success,9.2807604232803e-06,10,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.06,-0.5,1e-08,0.1,2.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.06,5.0,1e-06,0.0,0.0,8.0,0.0,80.0,25.0,65.0,6.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.25,0.0,0.1,1.0,0.9,0.65,0.2,0.08,0.08,1.35,0.05,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
0fdf1108148f18,held_out_models/0fdf1108148f18,True,,,success,9.51072979660239e-06,9,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.06,0.0,1e-08,0.0,8.0,0.5,100000000.0,1e-06,0.05,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.06,5.0,1e-06,0.0,0.02,8.0,0.0,80.0,25.0,65.0,2.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.4,0.0,0.35,1.0,0.98,0.45,0.2,0.15,0.08,1.35,0.02,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
135e4c78a7d3e5,held_out_models/135e4c78a7d3e5,True,,,success,9.353854693472384e-06,17,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.15,-0.25,1e-08,0.05,2.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.985,25.0,0.001,0.02,5.0,1e-06,0.0,0.01,8.0,0.0,80.0,25.0,65.0,6.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.25,0.0,0.1,1.0,0.95,0.45,0.2,0.08,0.08,1.35,0.05,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
170eb83a4e1548,held_out_models/170eb83a4e1548,True,,,success,4.172325134277344e-06,15,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.15,-0.25,1e-08,0.1,2.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.04,5.0,1e-06,0.0,0.02,8.0,0.0,80.0,25.0,65.0,2.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.1,0.0,0.35,1.0,0.98,0.45,0.2,0.25,0.08,1.35,0.05,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
174f5a5431315c,held_out_models/174f5a5431315c,True,,,success,8.592382073402405e-06,14,1.0,compact_consumption_deposit,float32,1x56x12x2x99x15,True,True,False,False,False,False,"[""consumption"", ""deposit""]",False,11,0.1,-0.5,1e-08,0.1,2.0,0.5,100000000.0,1e-06,0.02,10000.0,20.0,1.0,0.75,0.95,25.0,0.001,0.04,5.0,1e-06,0.0,0.01,8.0,0.0,80.0,25.0,65.0,2.0,0.0,0.85,0.02,0.0,0.3,0.0,-0.1,0.1,0.0,0.35,1.0,0.9,0.25,0.2,0.25,0.08,1.35,0.02,0.95,True,True,constant,True,rouwenhorst,replacement_rate,True,progressive
